name,category,medium,description,protocols,latency,bandwidth,range,reliability,security,complexity,cost,cost_model,recommended_devices,industry_fit,use_case,pros,cons,standards,resource_url
Opto-isolated digital input,non_web,electrical_contact,"Opto-isolated digital input as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Optocoupler; Digital input,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Security; Facilities; Industrial automation,Electrically isolated input detects PBX gateway relay or alarm state.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Optocoupler; Digital input,https://en.wikipedia.org/wiki/Opto-isolator
Solenoid actuator trigger,non_web,mechanical_actuation,"Solenoid actuator trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Solenoid; Relay driver,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000 actuators or operator stations",Access control; Industrial automation; Facilities,"Electrical pulse moves a latch, valve, bell, or mechanical linkage.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Solenoid; Relay driver,https://en.wikipedia.org/wiki/Solenoid
Pneumatic actuator command,non_web,pneumatic,"Pneumatic actuator command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Pneumatic valve; Solenoid valve,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000 actuators or operator stations",Manufacturing; Utilities; Safety systems,Air valve actuation replaces line-based remote switching where compressed air exists.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Pneumatic valve; Solenoid valve,https://www.emerson.com/en/final-control/products/eim-ehp
Hydraulic actuator command,non_web,hydraulic,"Hydraulic actuator command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Hydraulic valve; Solenoid valve,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000 actuators or operator stations",Industrial automation; Energy; Heavy equipment,Hydraulic valve command drives heavy equipment or doors from local control panels.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Hydraulic valve; Solenoid valve,https://www.parker.com/us/en/divisions/hydraulic-valve-division.html
Optical fiber contact closure extender,non_web,optical_signal,"Optical fiber contact closure extender as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Fiber I/O; Optical isolation,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost",1-256 local I/O points,Utilities; Industrial automation; Campuses,Fiber extends isolated trigger signals across electrically noisy or lightning-prone sites.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Fiber I/O; Optical isolation,https://www.moxa.com/en/products/industrial-edge-connectivity/serial-device-servers
Laser or photocell beam-break trigger,non_web,optical_signal,"Laser or photocell beam-break trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Photoelectric sensor; Beam break,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-10,000 sensed physical points",Security; Manufacturing; Access control,Light-beam interruption triggers local command or alarm logic.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Photoelectric sensor; Beam break,https://www.bannerengineering.com/us/en/products/sensors/photoelectric-sensors.html
Stack-light or strobe sensor trigger,non_web,visual_signal,"Stack-light or strobe sensor trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Photodiode; Light sensor,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Legacy facilities; Manufacturing; Maintenance,"Sensor watches stack lights, strobes, or indicators and converts them to commands.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Photodiode; Light sensor,https://www.analog.com/en/resources/technical-articles/photodiode-signal-conditioning.html
Acoustic siren or buzzer classifier,non_web,acoustic_signal,"Acoustic siren or buzzer classifier as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Microphone; DSP,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-10,000 sensed physical points",Safety retrofits; Facilities; Healthcare,Microphone detects alarm patterns or tones from legacy equipment.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Microphone; DSP,https://www.analog.com/en/resources/technical-articles/sensor-signal-chain-design-for-audio.html
Vibration or tamper sensor trigger,non_web,sensor_trigger,"Vibration or tamper sensor trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Accelerometer; Piezo,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-10,000 sensed physical points",Security; Industrial maintenance; Field equipment,Physical vibration or knock event starts a local workflow.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Accelerometer; Piezo,https://www.analog.com/en/product-category/accelerometers.html
Magnetic reed or Hall sensor trigger,non_web,magnetic,"Magnetic reed or Hall sensor trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Reed switch; Hall sensor,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-10,000 sensed physical points",Access control; Retail; Facilities,"Door, window, or equipment state triggers command logic without network transport.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Reed switch; Hall sensor,https://www.ti.com/sensors/magnetic-sensors/overview.html
Physical key switch interlock,non_web,physical_key,"Physical key switch interlock as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Key switch; Interlock,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-1,000 actuators or operator stations",Industrial safety; Utilities; Secure rooms,Operator key turn authorizes or triggers device actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Key switch; Interlock,https://en.wikipedia.org/wiki/Interlock_(engineering)
Emergency-stop safety relay chain,non_web,electrical_contact,"Emergency-stop safety relay chain as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",E-stop; Safety relay,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Manufacturing; Safety systems; Robotics,Safety circuit state directly disables or commands machinery.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,E-stop; Safety relay,https://www.pilz.com/en-US/products/safety-relays
Foot pedal or pushbutton station,non_web,mechanical_actuation,"Foot pedal or pushbutton station as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Pushbutton; Foot switch,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost",1-256 local I/O points,Clinics; Manufacturing; Service counters,Human-operated contact station triggers equipment where automation is not justified.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Pushbutton; Foot switch,https://en.wikipedia.org/wiki/Push-button
QR code scan workflow,non_web,barcode_qr,"QR code scan workflow as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",QR Code; Barcode scanner,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000,000 workflow items/events",Retail; Field service; Maintenance,Scanning a code at the edge selects the device or workflow to trigger.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,QR Code; Barcode scanner,https://www.gs1.org/standards/barcodes/2d-barcodes
Barcode scanner wedge command,non_web,barcode_qr,"Barcode scanner wedge command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Barcode; USB HID keyboard,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000,000 workflow items/events",Warehousing; Healthcare; Retail,Barcode scanner sends keyboard-style commands to a local controller.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Barcode; USB HID keyboard,https://www.gs1.org/standards/barcodes
Paper job ticket scan-to-trigger,non_web,paper_document,"Paper job ticket scan-to-trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",OCR; Document scan,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000,000 workflow items/events",Manufacturing; Logistics; Back office,Paper ticket or label scan initiates a controlled workflow.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,OCR; Document scan,https://www.iso.org/standard/75818.html
Manual SOP escalation,non_web,manual_process,"Manual SOP escalation as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Runbook; Checklist,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,"Low-Medium hardware plus installation; hardware, fixture, or process-change cost","1-1,000,000 workflow items/events",Facilities; Public safety; Compliance,Human checklist replaces unreliable line-trigger automation for low-frequency critical tasks.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Runbook; Checklist,https://www.iso.org/standard/70017.html
Operator tablet local USB command,non_web,usb,"Operator tablet local USB command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",USB CDC; USB HID,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"10-1,000 building devices",Kiosks; Labs; Field service,Tablet or local workstation sends command over a direct USB peripheral path.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,USB CDC; USB HID,https://www.usb.org/
MIDI control surface trigger,non_web,av_bus,"MIDI control surface trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",MIDI,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Venues; Broadcast; Hospitality,"MIDI buttons or faders trigger AV, paging, lighting, or room scenes.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,MIDI,https://www.midi.org/specifications
GPIO over PoE I/O appliance,non_web,electrical_contact,"GPIO over PoE I/O appliance as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",GPIO; PoE,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Facilities; Industrial automation; Retail,PoE I/O appliance converts local digital inputs and outputs without PSTN signaling.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,GPIO; PoE,https://www.moxa.com/en/products/industrial-edge-connectivity/controllers-and-ios/universal-controllers-and-i-os
Current-loop 4-20mA threshold trigger,non_web,sensor_bus,"Current-loop 4-20mA threshold trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",4-20mA; Analog input,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Utilities; Process control; Energy,Analog process threshold triggers local control or alarm logic.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,4-20mA; Analog input,https://www.analog.com/en/resources/technical-articles/4-20-ma-sensor-transmitters.html
Thermostat or HVAC contact trigger,non_web,electrical_contact,"Thermostat or HVAC contact trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Thermostat contact; 24VAC,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Facilities; Smart building; Hospitality,Existing thermostat or control contacts initiate HVAC or building actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Thermostat contact; 24VAC,https://www.ashrae.org/technical-resources/standards-and-guidelines
Fire alarm NAC or auxiliary relay monitor,non_web,electrical_contact,"Fire alarm NAC or auxiliary relay monitor as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",NAC; Aux relay,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Public safety; Facilities; Healthcare,"Fire-panel auxiliary output triggers paging, doors, or notification workflows.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,NAC; Aux relay,https://www.nfpa.org/codes-and-standards/nfpa-72-standard-development/72
Nurse-call dry-contact bridge,non_web,electrical_contact,"Nurse-call dry-contact bridge as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Nurse call; Dry contact,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Healthcare; Senior care; Facilities,Nurse-call output bridges care events to local alert workflows.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Nurse call; Dry contact,https://www.nfpa.org/codes-and-standards/nfpa-99-standard-development/99
Elevator controller discrete input,non_web,electrical_contact,"Elevator controller discrete input as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Discrete input; Interlock,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Hospitality; Facilities; Access control,Elevator controller input replaces phone-line side effects for access or emergency workflows.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Discrete input; Interlock,https://www.asme.org/codes-standards/find-codes-standards/a17-1-csa-b44-safety-code-elevators-escalators
Computer vision event trigger,web,edge_ai,"Computer vision event trigger as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RTSP; ONVIF; AI inference,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Security; Retail; Manufacturing,Camera analytics convert visual events into commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RTSP; ONVIF; AI inference,https://www.onvif.org/profiles/profile-t/
ONVIF event service,web,ethernet_ip,"ONVIF event service as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",ONVIF; SOAP; WS-Eventing,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Security; Facilities; Retail,Video/security device events trigger PBX or edge actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,ONVIF; SOAP; WS-Eventing,https://www.onvif.org/profiles/profile-t/
PTP time-synchronized command,web,ethernet_wire,"PTP time-synchronized command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",IEEE 1588 PTP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Industrial automation; Broadcast; Energy,Time-aligned command execution across many local devices.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,IEEE 1588 PTP,https://standards.ieee.org/ieee/1588/6825/
TSN scheduled Ethernet control,web,ethernet_wire,"TSN scheduled Ethernet control as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",TSN; IEEE 802.1Qbv,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Manufacturing; Automotive; Robotics,Deterministic Ethernet schedules critical control traffic.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,TSN; IEEE 802.1Qbv,https://1.ieee802.org/tsn/
Edge rules engine,web,edge_compute,"Edge rules engine as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Node-RED; Rules engine; HTTPS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"100-1,000,000 endpoints/events",SMB; Facilities; Systems integration,Local rules transform PBX/webhook events into device commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Node-RED; Rules engine; HTTPS,https://nodered.org/
